arrivalFloor arrivalTime partySize destinationFloor clientID
144 715 1 32 394
100 717 1 137 409
128 721 1 131 387
12 724 1 82 389
64 726 1 57 395
48 727 1 49 403
136 727 1 15 443
56 732 1 66 405
32 733 1 106 413
120 739 1 81 430
8 743 1 51 402
40 748 1 26 436
152 751 1 21 428
0 752 1 38 420
24 756 1 106 424
44 762 1 24 457
132 765 1 102 431
80 766 1 59 439
4 767 1 109 423
124 767 1 44 442
60 770 1 111 456
112 772 1 86 438
104 774 1 147 466
84 777 1 82 458
20 783 1 40 461
16 783 1 18 429
88 788 1 142 469
96 794 1 92 460
108 807 1 17 470
17 811 1 19 380
103 824 1 149 276
148 835 1 75 472
34 839 1 62 277
28 840 1 149 475
46 846 1 98 326
76 851 1 26 382
133 851 1 86 383
161 856 1 60 314
140 856 1 138 479
68 856 1 78 478
101 857 1 113 391
52 860 1 161 476
79 860 1 33 295
92 862 1 149 480
41 862 1 107 378
1 865 1 154 377
35 866 1 6 284
100 867 1 123 482
49 867 1 93 421
65 868 1 134 410
106 868 1 55 303
86 868 1 8 335
128 871 1 45 483
58 872 1 54 291
138 873 1 97 288
117 873 1 123 285
32 873 1 146 489
63 874 1 69 283
121 876 1 3 390
90 876 1 55 365
136 876 1 93 487
93 876 1 95 399
144 877 1 88 481
116 877 1 120 397
137 878 1 42 433
134 879 1 102 346
162 879 1 152 307
72 880 1 41 477
8 881 1 75 491
113 881 1 6 415
54 882 1 125 341
12 882 1 146 484
56 883 1 12 488
145 883 1 85 406
39 883 1 45 322
69 883 1 94 398
110 884 1 103 280
102 885 1 159 306
82 886 1 68 359
156 887 1 92 411
64 889 1 150 485
149 889 1 105 379
22 891 1 60 311
40 891 1 5 492
77 892 1 90 340
120 892 1 105 490
118 892 1 6 300
45 893 1 114 408
119 894 1 9 334
85 895 1 18 412
98 895 1 125 317
0 895 1 101 494
146 896 1 39 329
26 898 1 136 325
9 898 1 135 432
13 899 1 82 414
155 900 1 6 315
153 900 1 39 401
129 900 1 111 448
48 901 1 22 486
50 902 1 28 330
94 902 1 125 371
61 902 1 46 416
115 906 1 119 324
154 906 1 74 357
158 907 1 96 305
75 907 1 147 354
109 908 1 101 452
152 908 1 113 493
132 909 1 72 497
24 909 1 2 495
36 909 1 55 453
81 910 1 140 422
23 910 1 62 349
112 910 1 89 502
18 910 1 67 366
130 911 1 24 299
42 911 1 58 294
66 911 1 25 308
105 912 1 13 463
73 912 1 21 425
33 913 1 64 435
44 916 1 111 496
62 916 1 136 350
30 916 1 131 332
125 917 1 54 444
74 918 1 89 331
10 918 1 159 309
60 919 1 135 501
21 919 1 31 445
122 920 1 34 356
141 920 1 108 454
70 921 1 54 368
11 921 1 148 328
57 923 1 92 468
2 923 1 147 338
159 924 1 148 319
53 924 1 35 467
14 924 1 21 351
16 926 1 21 506
124 926 1 74 500
157 927 1 149 348
80 928 1 38 498
38 930 1 161 352
126 930 1 46 327
78 931 1 25 362
131 932 1 15 367
104 933 1 129 503
89 934 1 134 447
142 934 1 135 361
29 935 1 119 455
5 936 1 154 471
143 937 1 108 363
6 940 1 36 369
91 940 1 73 310
4 942 1 114 499
84 942 1 143 504
37 942 1 74 342
97 943 1 138 473
160 943 1 107 289
20 945 1 120 505
150 945 1 142 353
51 947 1 138 347
108 948 1 53 509
25 955 1 141 464
88 955 1 143 507
114 959 1 29 364
96 960 1 8 508
148 966 1 84 512
28 994 1 11 514
68 1002 1 73 520
92 1008 1 36 524
56 1012 1 25 553
52 1014 1 24 522
140 1015 1 78 519
100 1015 1 83 528
144 1016 1 20 543
40 1017 1 19 564
72 1018 1 43 548
128 1024 1 154 533
32 1033 1 153 537
12 1037 1 129 552
136 1041 1 60 541
64 1042 1 6 561
8 1043 1 36 549
0 1046 1 131 572
44 1055 1 30 603
60 1056 1 17 609
120 1061 1 100 566
112 1062 1 115 595
16 1064 1 92 620
48 1065 1 142 580
152 1065 1 55 589
132 1067 1 156 590
124 1070 1 108 621
24 1070 1 17 591
80 1079 1 23 623
4 1084 1 104 636
104 1084 1 68 628
84 1089 1 35 637
148 1095 1 62 649
20 1100 1 105 641
96 1100 1 22 648
108 1113 1 159 644
88 1113 1 93 646
17 1119 1 100 510
123 1126 1 18 388
68 1131 1 142 651
101 1133 1 106 521
133 1139 1 38 517
47 1142 1 11 385
41 1146 1 16 525
56 1154 1 129 653
49 1156 1 8 529
93 1157 1 56 542
1 1158 1 151 526
127 1159 1 133 386
156 1160 1 78 560
144 1160 1 113 657
92 1161 1 34 652
28 1161 1 141 650
128 1163 1 106 660
15 1164 1 59 381
40 1164 1 80 658
100 1168 1 160 656
76 1170 1 36 516
72 1171 1 96 659
81 1171 1 2 593
52 1176 1 161 654
116 1177 1 65 544
83 1177 1 135 441
61 1178 1 106 583
57 1179 1 37 615
99 1179 1 63 417
65 1181 1 15 530
137 1181 1 48 545
32 1181 1 105 661
109 1183 1 116 588
140 1184 1 117 655
0 1184 1 160 666
113 1185 1 34 550
121 1185 1 21 539
3 1185 1 37 437
12 1186 1 44 662
125 1186 1 79 606
136 1190 1 49 663
129 1191 1 159 579
73 1192 1 37 601
69 1192 1 110 556
145 1192 1 17 554
95 1195 1 129 419
53 1197 1 146 618
111 1197 1 159 404
71 1198 1 33 446
64 1200 1 102 664
153 1201 1 52 578
44 1201 1 134 667
67 1202 1 56 407
19 1202 1 50 427
112 1204 1 111 670
85 1204 1 140 570
141 1205 1 114 612
120 1206 1 122 669
43 1207 1 76 426
151 1208 1 125 396
7 1210 1 84 465
13 1210 1 123 576
60 1211 1 24 668
152 1212 1 149 673
135 1212 1 105 459
9 1213 1 74 575
36 1214 1 56 592
132 1217 1 47 674
16 1219 1 48 671
87 1219 1 50 462
21 1220 1 108 610
33 1222 1 114 602
5 1223 1 19 632
27 1223 1 58 418
149 1225 1 6 562
105 1227 1 109 600
8 1228 1 98 665
24 1230 1 104 676
20 1230 1 157 682
31 1231 1 62 474
48 1232 1 99 672
59 1232 1 62 440
45 1233 1 125 568
139 1235 1 20 434
55 1238 1 76 450
80 1241 1 126 677
84 1241 1 71 680
97 1242 1 117 639
89 1243 1 57 629
124 1243 1 55 675
107 1247 1 123 451
104 1248 1 121 679
103 1248 1 128 511
25 1251 1 89 645
96 1251 1 146 683
148 1253 1 72 681
4 1254 1 79 678
29 1255 1 11 631
88 1256 1 13 685
79 1256 1 56 523
68 1275 1 112 688
108 1281 1 53 684
35 1284 1 115 527
138 1286 1 132 535
147 1289 1 20 449
86 1291 1 136 532
54 1291 1 62 551
34 1292 1 132 513
117 1294 1 133 536
58 1294 1 49 534
144 1294 1 142 699
72 1295 1 77 707
90 1298 1 118 540
56 1299 1 4 693
100 1309 1 137 705
28 1310 1 65 701
118 1314 1 150 567
39 1315 1 117 555
0 1317 1 144 720
128 1318 1 3 702
162 1320 1 118 547
22 1320 1 121 563
63 1320 1 21 538
161 1324 1 18 518
52 1329 1 112 709
102 1329 1 91 558
154 1331 1 81 585
140 1331 1 113 719
134 1332 1 12 546
26 1333 1 2 574
92 1334 1 116 700
66 1336 1 118 599
106 1337 1 89 531
98 1338 1 4 571
136 1340 1 97 726
32 1340 1 150 717
77 1341 1 18 565
119 1343 1 106 569
112 1344 1 0 740
142 1345 1 18 630
64 1346 1 11 735
42 1346 1 151 598
2 1346 1 53 616
40 1349 1 106 704
50 1349 1 116 581
46 1349 1 117 515
12 1353 1 14 724
120 1353 1 156 743
18 1354 1 54 596
60 1355 1 114 748
152 1357 1 154 749
110 1361 1 55 557
44 1362 1 86 737
160 1362 1 26 640
155 1364 1 91 577
82 1364 1 61 559
132 1364 1 83 753
159 1367 1 116 617
126 1367 1 123 625
75 1368 1 72 587
74 1370 1 155 607
62 1370 1 76 604
16 1372 1 36 754
115 1373 1 40 584
94 1377 1 140 582
78 1377 1 1 626
130 1379 1 108 597
24 1380 1 1 763
14 1380 1 120 619
20 1381 1 121 764
84 1381 1 99 772
146 1383 1 118 573
122 1384 1 50 611
157 1387 1 65 622
38 1388 1 68 624
158 1390 1 162 586
48 1393 1 126 766
80 1395 1 138 771
4 1395 1 34 782
23 1395 1 25 594
143 1396 1 147 633
10 1396 1 13 608
8 1397 1 61 762
51 1398 1 113 643
70 1400 1 72 613
37 1401 1 118 638
124 1401 1 94 775
91 1404 1 55 635
104 1406 1 60 777
101 1408 1 131 689
30 1410 1 26 605
150 1411 1 83 642
96 1411 1 68 780
68 1412 1 40 786
114 1415 1 48 647
6 1415 1 145 634
49 1417 1 121 694
17 1420 1 5 686
148 1426 1 70 781
11 1426 1 21 614
41 1427 1 96 692
131 1428 1 39 627
88 1432 1 115 784
81 1434 1 113 708
93 1440 1 17 695
28 1447 1 57 801
128 1447 1 70 805
133 1448 1 126 690
92 1450 1 50 816
56 1450 1 25 799
144 1453 1 16 796
156 1453 1 102 698
72 1455 1 104 797
108 1459 1 29 787
61 1470 1 100 712
73 1470 1 17 728
109 1472 1 117 718
57 1473 1 121 713
116 1474 1 99 710
76 1475 1 87 706
1 1476 1 87 696
65 1479 1 52 715
0 1480 1 42 804
100 1480 1 71 800
69 1481 1 23 729
113 1481 1 74 721
32 1484 1 114 821
137 1487 1 0 716
105 1488 1 85 761
64 1488 1 59 826
53 1490 1 34 732
13 1491 1 117 747
85 1492 1 37 741
129 1494 1 59 727
121 1495 1 66 722
140 1497 1 137 813
52 1498 1 98 810
136 1501 1 138 820
12 1502 1 96 832
