arrivalFloor arrivalTime partySize destinationFloor clientID
0 4128 1 1 300
6 4166 1 10 293
1 4172 1 8 273
0 4180 1 3 306
8 4191 1 6 304
10 4193 1 2 303
9 4201 1 6 305
0 4246 1 7 309
4 4273 1 5 290
10 4276 1 7 311
8 4293 1 2 310
9 4299 1 6 312
0 4302 1 2 313
7 4307 1 8 302
2 4314 1 1 294
5 4320 1 3 301
3 4358 1 5 297
0 4362 1 7 318
8 4373 1 0 316
10 4377 1 9 315
9 4381 1 0 317
6 4381 1 8 307
0 4414 1 10 323
10 4461 1 9 325
8 4464 1 10 324
9 4477 1 0 326
0 4481 1 6 328
7 4515 1 2 319
8 4547 1 6 330
0 4552 1 10 332
5 4553 1 6 321
10 4567 1 4 329
9 4582 1 4 331
0 4607 1 2 335
6 4634 1 0 327
4 4651 1 1 314
8 4654 1 10 334
2 4657 1 7 320
10 4659 1 4 337
9 4662 1 4 338
0 4673 1 3 339
1 4686 1 0 308
3 4736 1 10 322
0 4742 1 7 346
8 4745 1 6 342
9 4747 1 4 345
10 4756 1 8 344
7 4767 1 3 333
0 4798 1 9 349
5 4802 1 0 336
10 4827 1 8 352
9 4829 1 5 351
8 4852 1 10 350
6 4867 1 3 340
0 4870 1 7 354
10 4926 1 4 356
9 4927 1 5 357
0 4930 1 10 360
8 4953 1 0 358
0 4978 1 1 363
4 4994 1 9 341
9 4999 1 10 362
7 5006 1 4 353
10 5013 1 8 361
0 5044 1 1 365
2 5046 1 5 343
5 5049 1 7 355
8 5050 1 9 364
9 5089 1 4 367
0 5097 1 10 370
10 5102 1 6 369
3 5105 1 1 348
6 5110 1 10 359
8 5133 1 2 373
0 5161 1 6 375
9 5180 1 5 374
10 5181 1 4 376
1 5203 1 8 347
0 5220 1 6 380
8 5225 1 6 379
10 5260 1 0 382
7 5264 1 5 368
9 5264 1 3 381
0 5274 1 2 384
5 5276 1 1 372
8 5323 1 3 385
0 5335 1 4 389
10 5356 1 5 386
4 5358 1 0 366
9 5364 1 2 388
6 5384 1 0 378
0 5395 1 8 392
2 5400 1 10 371
8 5410 1 3 391
10 5439 1 9 393
0 5446 1 2 397
9 5448 1 8 395
3 5465 1 4 377
8 5494 1 1 399
7 5505 1 4 387
0 5522 1 5 401
10 5526 1 9 400
5 5532 1 8 390
9 5537 1 5 402
8 5586 1 1 404
0 5592 1 6 406
